Obesity Prevalence,,,Year 2013,Year 2013,Year 2012,Year 2012,Year 2004,Year 2004
State,FIPS Codes,County,number,percent,number,percent,number,percent
Iowa,19053,Decatur County,1992,33.1,1836,30.7,1608,25.1
Iowa,19055,Delaware County,4353,33.9,4131,32,3327,25.4
Iowa,19057,Des Moines County,9458,31.3,9524,31.6,8131,26.7
Iowa,19059,Dickinson County,4466,33.4,4384,32.8,3367,25.9
Iowa,19061,Dubuque County,20137,28.5,19412,27.7,16520,24.8
Iowa,19063,Emmet County,2497,33.2,2587,34.5,1955,24.8
Iowa,19065,Fayette County,5793,37.7,5991,38.5,4043,25.3
Iowa,19067,Floyd County,3724,31,3924,32.9,3241,26.1
Iowa,19069,Franklin County,2569,32.6,2600,33.1,2064,25.5
Iowa,19071,Fremont County,1761,32.9,1792,33,1527,26.3
Iowa,19073,Greene County,2038,29.6,1969,28.6,1923,25.6
Iowa,19075,Grundy County,2899,31.7,2688,29.1,2210,23.7
Iowa,19077,Guthrie County,2902,35.9,2815,34.9,2185,24.7
Iowa,19079,Hamilton County,3501,30.6,3397,29.8,3142,25.9
Iowa,19081,Hancock County,2946,35.4,2730,32.6,2241,25.5
Iowa,19083,Hardin County,4549,34.8,4257,32.8,3328,24.7
Iowa,19085,Harrison County,3486,32.3,3471,32,3068,26.2
Iowa,19087,Henry County,5215,34.6,4976,33.2,3846,25.4
Iowa,19089,Howard County,2142,31.1,2240,32.2,1791,24.7
Iowa,19091,Humboldt County,2306,31.8,2410,33.1,1892,25
Iowa,19093,Ida County,1489,28.2,1601,30.5,1401,25.1
Iowa,19095,Iowa County,3714,30.7,3542,29.5,3061,25.9
Iowa,19097,Jackson County,4857,33.1,4816,32.6,3709,24.5
Iowa,19099,Jasper County,8932,32.2,9462,34.3,7374,26
Iowa,19101,Jefferson County,3843,27.5,3727,27.7,3035,24.6
Iowa,19103,Johnson County,24018,23,23078,22.6,18980,21.6
Iowa,19105,Jones County,5876,37.6,4959,31.7,3811,24.2
Iowa,19107,Keokuk County,2310,29.9,2235,28.8,2223,26.6
Iowa,19109,Kossuth County,3766,32.7,3629,31.4,3045,24.8
Iowa,19111,Lee County,8615,31.9,8589,31.6,6962,25.2
Iowa,19113,Linn County,49261,31,47517,30.1,34590,24
Iowa,19115,Louisa County,3103,37.4,2876,35,2108,24.3
Iowa,19117,Lucas County,2193,33.8,2060,31.8,1797,24.9
Iowa,19119,Lyon County,2615,31.9,2513,30.4,2036,24.1
Iowa,19121,Madison County,3787,34.2,3786,33.9,2754,25.3
Iowa,19123,Mahaska County,5242,31.9,5049,30.7,4042,24.8
Iowa,19125,Marion County,7930,33.1,7409,30.9,5739,23.9
Iowa,19127,Marshall County,10292,34.7,9855,33.2,8139,28
Iowa,19129,Mills County,3764,34.7,3631,33.6,2744,25
Iowa,19131,Mitchell County,2391,30.3,2404,30.5,2031,25.3
Iowa,19133,Monona County,2281,32.8,2074,29.6,1844,24.8
Iowa,19135,Monroe County,1919,32.4,1940,32.6,1508,25.8
Iowa,19137,Montgomery County,2941,37.6,2693,34.2,2203,26.1
Iowa,19139,Muscatine County,10593,34.2,10891,35.4,7898,25.7
Iowa,19141,O'Brien County,3312,31.6,3268,30.9,2722,24.9
Iowa,19143,Osceola County,1609,34.4,1506,32.2,1330,26.5
Iowa,19145,Page County,4230,35.3,3957,32.8,3206,25.7
Iowa,19147,Palo Alto County,2457,35.7,2311,33.2,1779,24.4
Iowa,19149,Plymouth County,5814,32.2,6000,33.3,4423,24.5
Iowa,19151,Pocahontas County,1725,31.9,1672,30.5,1508,24.7
Iowa,19153,Polk County,95464,29.2,93376,29.2,69040,24.1
Iowa,19155,Pottawattamie County,24572,36,25444,37.4,17500,26.8
Iowa,19157,Poweshiek County,4456,32.1,4246,30.5,3559,24.9
Iowa,19159,Ringgold County,1302,34.9,1322,35.1,1029,25.3
Iowa,19161,Sac County,2510,33,2403,31.2,2051,25
Iowa,19163,Scott County,39804,31.8,38448,31.1,27410,23.6
Iowa,19165,Shelby County,2639,29.4,2781,30.8,2497,26.2
Iowa,19167,Sioux County,6848,29,6529,27.7,5107,22.7
Iowa,19169,Story County,18768,27.1,17416,25.6,13060,21.3
Iowa,19171,Tama County,4016,31.3,4172,32.6,3217,24.5
Iowa,19173,Taylor County,1430,30.9,1389,30.1,1250,24.8
Iowa,19175,Union County,3524,37.8,3453,37.1,2282,25.2
Iowa,19177,Van Buren County,1984,35.7,1789,32.2,1502,25.6
Iowa,19179,Wapello County,9404,35.6,8699,32.9,6928,25.8
Iowa,19181,Warren County,10530,31.1,10238,30.5,7799,25.2
Iowa,19183,Washington County,5049,31.5,4958,31,3729,23.8
Iowa,19185,Wayne County,1582,33.3,1442,30.5,1266,25.2
Iowa,19187,Webster County,8638,31.1,8436,30.5,7791,27
Iowa,19189,Winnebago County,2283,28.6,2563,31.8,2134,25.2
Iowa,19191,Winneshiek County,3973,25.4,3947,25.2,3948,24.9
Iowa,19193,Woodbury County,24845,34.3,24342,33.7,17880,24.5
Iowa,19195,Worth County,1923,33.7,1900,33.7,1505,25.6
Iowa,19197,Wright County,3336,34.4,3335,34.3,2577,25
Kansas,20001,Allen County,3301,34.2,3359,34.4,2595,25.5
Kansas,20003,Anderson County,1895,33.3,1805,31.5,1476,24.8
Kansas,20005,Atchison County,3939,33.1,3573,29.9,3233,26.8
Kansas,20007,Barber County,1365,36.7,1357,36.8,917.7,24.2
Kansas,20009,Barton County,7065,35.4,7054,35.4,4915,24.3
Kansas,20011,Bourbon County,3628,33.9,3850,36.1,2628,24
Kansas,20013,Brown County,2134,29.6,2196,30.6,1939,25.6
Kansas,20015,Butler County,14934,31.9,14526,31.3,11140,25.4
Kansas,20017,Chase County,584,28.3,633,30.1,582.9,25.8
Kansas,20019,Chautauqua County,938,34.1,900,32.6,819,25.4
Kansas,20021,Cherokee County,5683,37,5991,38.7,4231,26.7
Kansas,20023,Cheyenne County,694,33.5,676,32.9,555.7,24.5
Kansas,20025,Clark County,490,31.2,468,30,443.8,25.5
Kansas,20027,Clay County,2274,36.2,2271,35.8,1662,25.6
Kansas,20029,Cloud County,2069,29.9,2264,32.8,1826,24.9
Kansas,20031,Coffey County,1920,30.5,2083,32.9,1662,25.9
Kansas,20033,Comanche County,467,33.6,477,33.9,359.1,24.4
Kansas,20035,Cowley County,9472,36,9634,36.8,6566,25.6
Kansas,20037,Crawford County,9552,33,10038,34.7,7203,25.4
Kansas,20039,Decatur County,829,36.1,827,35.8,617,24.7
Kansas,20041,Dickinson County,4586,31.9,4753,32.9,3906,27.5
Kansas,20043,Doniphan County,1840,32.1,1786,31.1,1443,25.2
Kansas,20045,Douglas County,20848,24.2,19785,23.3,16600,21.5
Kansas,20047,Edwards County,723,32.9,721,32.5,601.2,24.7
Kansas,20049,Elk County,670,32.5,727,34.7,599.6,24.9
Kansas,20051,Ellis County,6821,31.6,6352,29.3,4595,22.6
Kansas,20053,Ellsworth County,1704,33.3,1675,32.5,1251,25
Kansas,20055,Finney County,8555,35.2,8421,34.9,5937,24
Kansas,20057,Ford County,7103,30.6,7408,32.5,5691,25.7
Kansas,20059,Franklin County,6297,33.8,6208,33.4,4811,25.7
Kansas,20061,Geary County,8107,32.7,7872,30.9,4100,24.3
Kansas,20063,Gove County,614,30.2,639,31.6,496.4,23.6
Kansas,20065,Graham County,586,28.9,608,30,519.3,23.9
Kansas,20067,Grant County,1831,35.6,1718,33.3,1367,26.9
Kansas,20069,Gray County,1464,36,1377,33.9,1011,25
Kansas,20071,Greeley County,316,32.6,300,31.4,255,24.8
Kansas,20073,Greenwood County,1601,32.7,1574,31.9,1462,25.6
Kansas,20075,Hamilton County,670,37.1,683,37.5,468.1,24.9
Kansas,20077,Harper County,1484,34.2,1484,34,1161,24.9
Kansas,20079,Harvey County,7745,31,8055,32.4,5785,23.7
Kansas,20081,Haskell County,945,33.9,942,33.5,723.2,25.5
Kansas,20083,Hodgeman County,467,32,456,31.2,372,24.3
Kansas,20085,Jackson County,3204,33.4,3304,34.5,2421,25.6
Kansas,20087,Jefferson County,4172,29.9,4391,31.4,3604,25.8
Kansas,20089,Jewell County,720,29.6,727,30.1,665.2,24.6
Kansas,20091,Johnson County,101564,24.8,93844,23.3,67620,18.9
Kansas,20093,Kearny County,762,28.7,807,30.3,728.3,24.5
Kansas,20095,Kingman County,1893,32.2,1889,32.3,1548,25.4
Kansas,20097,Kiowa County,618,32.8,590,31.5,561.9,24.4
Kansas,20099,Labette County,5281,34,5681,36.3,4067,25.2
Kansas,20101,Lane County,397,30.8,421,32.5,383,26.1
Kansas,20103,Leavenworth County,18830,32.8,17489,30.8,12630,24.1
Kansas,20105,Lincoln County,723,31.2,713,30.5,639.4,24.6
Kansas,20107,Linn County,2244,31.6,2258,31.7,1862,25.5
Kansas,20109,Logan County,655,31.1,666,32,505.9,24.2
Kansas,20111,Lyon County,8461,34.7,8291,34.1,6011,23.4
Kansas,20113,McPherson County,6407,29.2,6489,29.9,5369,24.9
Kansas,20115,Marion County,2849,30.9,3070,33.2,2379,24.6
Kansas,20117,Marshall County,2456,32.6,2592,34.3,2077,26.4
Kansas,20119,Meade County,813,27,788,25.6,764.5,24.1
Kansas,20121,Miami County,8027,34.1,7597,32.6,5580,26.1
Kansas,20123,Mitchell County,1506,32.1,1517,32.1,1085,22.7
Kansas,20125,Montgomery County,8804,35.1,8817,35.1,6856,26.8
Kansas,20127,Morris County,1548,35.1,1591,35.2,1141,25.3
Kansas,20129,Morton County,715,31.9,686,30.5,567.1,25.5
Kansas,20131,Nemaha County,2213,30.4,2233,30.9,1753,23.6
Kansas,20133,Neosho County,3987,33.5,3901,32.8,3056,25.3
Kansas,20135,Ness County,727,31.1,710,30.5,572.5,24
Kansas,20137,Norton County,1435,32.4,1495,33.9,1083,24.3
Kansas,20139,Osage County,4385,37.1,4282,36.2,3303,26.4
Kansas,20141,Osborne County,967,33.2,984,33.5,741.5,23.8
Kansas,20143,Ottawa County,1679,37.9,1636,37,1183,25.9
Kansas,20145,Pawnee County,1629,30.3,1660,31.1,1238,24.5
Kansas,20147,Phillips County,1187,28.8,1151,28.1,1039,24.7
Kansas,20149,Pottawatomie County,4816,31.3,4797,31.6,3203,24.1
Kansas,20151,Pratt County,2406,33.8,2352,32.9,1665,23.9
Kansas,20153,Rawlins County,661,32.3,657,32.5,522.7,24.3
Kansas,20155,Reno County,17011,35.7,15860,33.3,11640,24.7
Kansas,20157,Republic County,1164,30.9,1094,28.7,950.4,23.4
Kansas,20159,Rice County,2364,32.6,2257,31.1,1991,26.2
Kansas,20161,Riley County,13556,23.8,13773,24.3,9791,21
Kansas,20163,Rooks County,1262,32.8,1228,31.5,957.1,23.7
Kansas,20165,Rush County,815,32.6,784,31.1,695.8,26
Kansas,20167,Russell County,1617,30.4,1599,29.9,1385,25.6
Kansas,20169,Saline County,14318,35.1,13168,32.5,9442,24.1
Kansas,20171,Scott County,1151,32.1,1108,31.2,864.9,25.8
Kansas,20173,Sedgwick County,112636,31.4,108394,30.5,78260,24.1
Kansas,20175,Seward County,5900,38.6,5290,34.9,3728,24.9
Kansas,20177,Shawnee County,42965,32.9,42225,32.3,33270,26.5
Kansas,20179,Sheridan County,596,31.5,599,31.5,461.4,24
Kansas,20181,Sherman County,1348,29.9,1437,31.5,1181,26.1
Kansas,20183,Smith County,995,34.1,963,32.7,775.9,23.7
Kansas,20185,Stafford County,1035,32.5,1063,33.1,782.6,23.6
Kansas,20187,Stanton County,470,31.3,450,29.7,400.8,24.4
Kansas,20189,Stevens County,1343,34.8,1329,34.3,901.5,24.3
Kansas,20191,Sumner County,5299,31.1,5855,34.3,5073,28.4
Kansas,20193,Thomas County,2020,35,1849,32.3,1314,24
Kansas,20195,Trego County,697,29.7,703,29.9,586.9,24.5
Kansas,20197,Wabaunsee County,1583,30.9,1646,32,1261,24.8
Kansas,20199,Wallace County,368,33.1,358,32.6,287.1,25.3
Kansas,20201,Washington County,1306,30.7,1379,32,1113,24.2
Kansas,20203,Wichita County,461,29.4,487,30.5,436.5,26.2
Kansas,20205,Wilson County,2208,32.9,2111,31.2,1837,25
Kansas,20207,Woodson County,818,33.4,761,30.4,665.7,24.1
Kansas,20209,Wyandotte County,40349,36.2,41712,37.8,30490,28.2
Kentucky,21001,Adair County,4872,34.3,4428,31.8,3830,29.5
Kentucky,21003,Allen County,5079,33.9,5220,35,4116,30.2
Kentucky,21005,Anderson County,5535,34.6,5207,32.9,3775,25.9
Kentucky,21007,Ballard County,2139,34.2,2204,35.2,1714,27.4
Kentucky,21009,Barren County,9856,31,10274,32.5,7649,25.9
Kentucky,21011,Bath County,2651,30.4,2672,31,2556,29.9
Kentucky,21013,Bell County,8074,37.9,7695,35.8,6129,27.7
Kentucky,21015,Boone County,28373,32.5,25816,29.9,17670,24.7
Kentucky,21017,Bourbon County,5075,34.1,5042,34,4149,28.6
Kentucky,21019,Boyd County,14506,38.5,13880,36.8,11120,29.3
Kentucky,21021,Boyle County,7234,32.2,6852,31.5,5601,26.5
Kentucky,21023,Bracken County,2014,32.4,1908,30.7,1781,27.7
Kentucky,21025,Breathitt County,4297,41.6,4435,42.9,3745,31.8
Kentucky,21027,Breckinridge County,5451,36.6,5543,37.3,3739,26.3
Kentucky,21029,Bullitt County,18673,32.8,18184,32.6,13570,28
Kentucky,21031,Butler County,3191,33.2,3397,35.5,2822,28.5
Kentucky,21033,Caldwell County,3385,35,3239,33.2,2540,25.9
Kentucky,21035,Calloway County,8764,30.1,8115,28.1,5930,22.1
Kentucky,21037,Campbell County,21544,31.6,22072,32.6,16650,26.3
Kentucky,21039,Carlisle County,1260,33.4,1259,33,1104,27.3
Kentucky,21041,Carroll County,2772,35.3,3021,38.2,1976,26
Kentucky,21043,Carter County,7924,38.9,6806,33.5,5550,27.6
Kentucky,21045,Casey County,4386,36.4,4347,36.3,3204,26.8
Kentucky,21047,Christian County,18736,36.5,19077,36.6,12970,28
Kentucky,21049,Clark County,8160,30.6,8558,32,7151,28
Kentucky,21051,Clay County,6187,38,5456,33.2,5184,28.9
Kentucky,21053,Clinton County,2656,34.9,2545,33.2,1926,26.5
Kentucky,21055,Crittenden County,2356,33.8,2219,31.7,1828,26.5
Kentucky,21057,Cumberland County,1649,31.8,1769,34.1,1517,27.9
Kentucky,21059,Daviess County,21871,30.4,20657,28.8,17280,25.8
Kentucky,21061,Edmonson County,2905,31.2,3237,34.9,2354,26.2
Kentucky,21063,Elliott County,2058,33.7,2118,34.4,1393,27.4
Kentucky,21065,Estill County,3867,35.1,3456,31.5,3024,26.8
Kentucky,21067,Fayette County,63516,27.3,60465,26.3,51880,25.9
Kentucky,21069,Fleming County,3695,34.5,3731,34.9,2714,25.5
Kentucky,21071,Floyd County,10961,37.6,11217,37.8,9690,30.5
Kentucky,21073,Franklin County,12489,33.2,12364,33,9397,25.9
Kentucky,21075,Fulton County,1580,32,1778,35.3,1448,26.6
Kentucky,21077,Gallatin County,2177,35.8,1880,31.1,1596,28.5
Kentucky,21079,Garrard County,3895,30.5,4396,34.5,3122,25.8
Kentucky,21081,Grant County,6273,36.3,5866,34.2,4462,26
Kentucky,21083,Graves County,8253,30.1,8039,29.3,7169,26.1
Kentucky,21085,Grayson County,7035,36.5,6922,36,5323,28.7
Kentucky,21087,Green County,3250,38.1,2819,33,2406,27.3
Kentucky,21089,Greenup County,11027,39.8,10712,38.4,8371,29.9
Kentucky,21091,Hancock County,2176,34.5,2046,32.6,1624,26.8
Kentucky,21093,Hardin County,25659,32.9,24286,31.5,17600,26.2
Kentucky,21095,Harlan County,7852,36.5,7906,36.6,7353,31.4
Kentucky,21097,Harrison County,4160,30.1,4115,29.8,3769,27.9
Kentucky,21099,Hart County,5023,37.1,4733,35.2,3693,27.8
Kentucky,21101,Henderson County,11286,32.6,11036,31.9,8265,24.6
Kentucky,21103,Henry County,3596,31.6,3552,31.5,3258,28.3
Kentucky,21105,Hickman County,1307,35.2,1280,34.5,1120,28.3
Kentucky,21107,Hopkins County,12241,35,12120,34.7,10320,29.7
Kentucky,21109,Jackson County,3772,37.5,4106,41.2,2897,29.1
Kentucky,21111,Jefferson County,179324,31.6,175168,31.2,136400,26.5
Kentucky,21113,Jessamine County,11388,31.5,11060,31.1,8460,27.9
Kentucky,21115,Johnson County,6565,37.2,6938,39.2,5126,28.8
Kentucky,21117,Kenton County,34061,28.5,32792,27.8,25130,23
Kentucky,21119,Knott County,4921,40.2,4974,40.7,3735,28.6
Kentucky,21121,Knox County,9224,39.3,8583,36.7,6359,27.6
Kentucky,21123,Larue County,3558,33.6,3232,30.5,2701,26.9
Kentucky,21125,Laurel County,16765,37.8,15277,34.7,11110,27.2
Kentucky,21127,Lawrence County,4997,42.2,4909,41.4,3549,29.9
Kentucky,21129,Lee County,2042,33.9,1674,29.5,1679,28
Kentucky,21131,Leslie County,3658,43.2,3419,39.9,2612,28.9
Kentucky,21133,Letcher County,6968,38.6,6933,37.9,5667,30.4
Kentucky,21135,Lewis County,3963,38.3,3840,37.1,2821,27.4
Kentucky,21137,Lincoln County,5558,30.8,5289,29.3,4886,26.9
Kentucky,21139,Livingston County,2177,29.7,2263,30.9,2063,27.5
Kentucky,21141,Logan County,6998,35.2,6981,35.5,5606,28.3
Kentucky,21143,Lyon County,2343,33.3,2340,33.3,1831,26.9
Kentucky,21145,McCracken County,16760,33.7,16007,32.1,12520,25.8
Kentucky,21147,McCreary County,4645,34.3,4651,34.2,3543,29
Kentucky,21149,McLean County,2595,36.8,2517,35.6,2109,28.5
Kentucky,21151,Madison County,20430,32.2,18473,29.6,14980,26.8
Kentucky,21153,Magoffin County,3264,33.7,3269,33.5,2970,30.4
Kentucky,21155,Marion County,4527,30.6,4874,33.1,3684,26.9
Kentucky,21157,Marshall County,8261,34.1,7895,32.5,6153,25.8
Kentucky,21159,Martin County,3847,39.3,3993,40.7,2690,30.5
Kentucky,21161,Mason County,3853,30.1,4328,33.6,3298,26.2
Kentucky,21163,Meade County,7616,35.9,7535,35.9,5334,26.7
Kentucky,21165,Menifee County,1596,33.3,1585,33.3,1389,27.7
Kentucky,21167,Mercer County,5718,35.8,5192,32.6,4464,28
Kentucky,21169,Metcalfe County,2502,33.8,2522,34.1,2001,26.7
Kentucky,21171,Monroe County,2409,29.9,2533,31.2,2366,27.1
Kentucky,21173,Montgomery County,6481,32.2,6564,33.1,5130,29.4
Kentucky,21175,Morgan County,3753,35.5,3752,35.3,3192,28.9
Kentucky,21177,Muhlenberg County,9019,37.8,8831,36.9,6903,28.8
Kentucky,21179,Nelson County,10451,32.4,10384,32.4,8169,28.2
Kentucky,21181,Nicholas County,1712,32.5,1663,31.7,1442,27.4
Kentucky,21183,Ohio County,6542,37.2,7032,40,5043,28.9
Kentucky,21185,Oldham County,12415,28,13061,30.1,9066,24
Kentucky,21187,Owen County,2375,30,2505,31.5,2214,26.6
Kentucky,21189,Owsley County,1186,33.6,1328,37.2,937.5,26.1
Kentucky,21191,Pendleton County,3524,32.4,3213,29.7,2922,27.2
Kentucky,21193,Perry County,7928,37,8199,38,6185,28.3
Kentucky,21195,Pike County,19012,38.9,18442,37.7,15860,31.3
Kentucky,21197,Powell County,3343,36.3,3218,34.9,2695,27
Kentucky,21199,Pulaski County,16084,33.6,16623,34.7,11160,25.3
Kentucky,21201,Robertson County,596,34.6,592,34.6,451.5,26.2
Kentucky,21203,Rockcastle County,4572,36,4961,38.7,3652,29.3
Kentucky,21205,Rowan County,6003,34.4,5959,34.3,4364,26.8
Kentucky,21207,Russell County,4644,34.6,4495,33.7,3429,26.9
Kentucky,21209,Scott County,10446,29.4,10602,30.6,7232,26.8
Kentucky,21211,Shelby County,10691,33,10772,33.8,8247,30.5
Kentucky,21213,Simpson County,4615,35.4,4095,32,3204,26.2
Kentucky,21215,Spencer County,3903,30.3,3453,27.3,2886,26.8
Kentucky,21217,Taylor County,6570,35.4,6726,36.6,4484,25.7
Kentucky,21219,Todd County,2976,33.7,2897,32.6,2542,29.8
Kentucky,21221,Trigg County,3634,33.4,3118,28.7,2707,26.8
Kentucky,21223,Trimble County,2219,34,2220,34.5,1850,28.1
Kentucky,21225,Union County,3415,30.7,3666,33.2,3121,28.3
Kentucky,21227,Warren County,27289,31.6,24845,29.2,17380,24.4
Kentucky,21229,Washington County,2894,32.9,2922,33.4,2299,28
Kentucky,21231,Wayne County,5830,37.1,5542,35.1,4032,26.8
Kentucky,21233,Webster County,3581,35.6,3353,33.1,3158,30.1
Kentucky,21235,Whitley County,9395,36.3,9178,35.5,8157,30.1
Kentucky,21237,Wolfe County,1746,32.3,1744,32.5,1382,27.3
Kentucky,21239,Woodford County,5558,29.5,5730,30.8,4792,27.3
Louisiana,22001,Acadia Parish,14560,33.1,13957,31.9,11750,28.8
Louisiana,22003,Allen Parish,6645,34.4,6635,34.6,5420,29
Louisiana,22005,Ascension Parish,24984,31.3,25180,32.3,15180,25.1
Louisiana,22007,Assumption Parish,6021,34.8,5699,33.3,4836,29.2
Louisiana,22009,Avoyelles Parish,11313,37,11896,38.8,8636,28.6
Louisiana,22011,Beauregard Parish,9381,35.8,9243,35.4,6405,26.2
Louisiana,22013,Bienville Parish,3981,38.2,4028,38.3,3388,30.6
Louisiana,22015,Bossier Parish,31094,34.7,30462,34.2,18220,24.9
Louisiana,22017,Caddo Parish,64114,34.3,65029,34.6,48390,27
Louisiana,22019,Calcasieu Parish,45916,32.3,46911,33.3,35120,26.7
Louisiana,22021,Caldwell Parish,2713,36.3,2736,36.5,2217,27.9
Louisiana,22023,Cameron Parish,1567,31.5,1708,34.7,1801,25.7
Louisiana,22025,Catahoula Parish,2736,35.3,2869,37,2158,27.8
Louisiana,22027,Claiborne Parish,4910,37,5066,38,3644,30.1
Louisiana,22029,Concordia Parish,5751,38.3,5802,38.7,3944,28.1
Louisiana,22031,De Soto Parish,7689,38.9,7243,36.7,5710,30.6
Louisiana,22033,East Baton Rouge Parish,107780,32.9,105095,32.3,72840,25
Louisiana,22035,East Carroll Parish,2309,42.1,2373,43.2,1922,31.8
Louisiana,22037,East Feliciana Parish,6507,42.1,6024,38.7,4723,30.8
Louisiana,22039,Evangeline Parish,10016,41.9,8745,36.7,6762,27.7
Louisiana,22041,Franklin Parish,5630,38,5348,36,3993,27.1
Louisiana,22043,Grant Parish,5747,33.8,5612,33.6,3772,27.7
Louisiana,22045,Iberia Parish,18956,36.1,19619,37.6,13110,25.6
Louisiana,22047,Iberville Parish,10081,39.7,9989,39.5,7151,30.4
Louisiana,22049,Jackson Parish,4240,34.8,4743,38.8,2915,26
Louisiana,22051,Jefferson Parish,117112,35.4,106035,32.3,89980,27.1
Louisiana,22053,Jefferson Davis Parish,8163,36.3,8101,36,5899,27.1
Louisiana,22055,Lafayette Parish,52698,31.1,47755,28.8,34170,24.6
Louisiana,22057,Lafourche Parish,26435,36.9,25825,36.3,18990,28.8
Louisiana,22059,La Salle Parish,3677,33.2,4296,38.6,2819,27.4
Louisiana,22061,Lincoln Parish,12822,37.3,11696,34.3,8771,29.4
Louisiana,22063,Livingston Parish,32856,34.4,33723,36.1,19640,26.2
Louisiana,22065,Madison Parish,3634,41.8,3837,43,2776,32.5
Louisiana,22067,Morehouse Parish,7853,39.4,7966,39.7,6300,29
Louisiana,22069,Natchitoches Parish,9684,34.7,10525,37.5,7584,28.4
Louisiana,22071,Orleans Parish,92788,31.9,91021,32.2,96800,29.7
Louisiana,22073,Ouachita Parish,39863,35.7,38921,35.2,28140,27.1
Louisiana,22075,Plaquemines Parish,5602,33.5,5918,35.1,5657,27.8
Louisiana,22077,Pointe Coupee Parish,5900,35.3,6303,37.5,4810,29.7
Louisiana,22079,Rapides Parish,34158,35.7,34721,36.5,25310,27.7
Louisiana,22081,Red River Parish,2609,40.3,2622,40,2034,30.8
Louisiana,22083,Richland Parish,5620,37.1,5828,38.6,4248,29
Louisiana,22085,Sabine Parish,6983,39.1,7160,39.9,4674,27.5
Louisiana,22087,St. Bernard Parish,10975,35.5,10553,35.4,13290,27.6
Louisiana,22089,St. Charles Parish,13536,35.9,13452,35.9,10000,28.7
Louisiana,22091,St. Helena Parish,3292,40.6,3353,40.8,2148,29.5
Louisiana,22093,St. James Parish,5897,37,5990,37.8,4115,28
Louisiana,22095,St. John the Baptist Pa,11240,35.8,11168,35,8738,28.2
Louisiana,22097,St. Landry Parish,23365,39.6,24873,42.2,18260,29.5
Louisiana,22099,St. Martin Parish,13107,34.2,13309,35,10070,28.5
Louisiana,22101,St. Mary Parish,14823,38,14916,38.3,11530,31.9
Louisiana,22103,St. Tammany Parish,49223,27.8,48648,28,34750,22.8
Louisiana,22105,Tangipahoa Parish,35287,39.1,35767,40.3,19940,27
Louisiana,22107,Tensas Parish,1242,34.8,1233,34,1329,30
Louisiana,22109,Terrebonne Parish,32039,39.5,31822,39.6,22730,30.5
Louisiana,22111,Union Parish,5835,34.4,6100,36.1,4682,28.1
Louisiana,22113,Vermilion Parish,13193,31.2,13373,32,10300,26.6
Louisiana,22115,Vernon Parish,13668,36.6,14346,37.9,8428,25.9
Louisiana,22117,Washington Parish,12711,37.4,13671,40.1,9250,29.2
Louisiana,22119,Webster Parish,10870,35.8,10047,33,8636,28.5
Louisiana,22121,West Baton Rouge Parish,7260,40.2,6694,37.9,4437,28.5
Louisiana,22123,West Carroll Parish,3040,36,3143,37.1,2301,26.1
Louisiana,22125,West Feliciana Parish,4346,34.5,4809,38.4,3613,29.8
Louisiana,22127,Winn Parish,4238,37.7,4089,36,3385,28.3
Maine,23001,Androscoggin County,26849,33.2,26194,32.4,18860,23.6
Maine,23003,Aroostook County,18731,34.1,18781,33.9,14540,25.9
Maine,23005,Cumberland County,50096,22.7,48177,22,35740,17.3
Maine,23007,Franklin County,7143,30.2,7038,29.7,5499,24.5
Maine,23009,Hancock County,10647,24.3,10386,23.8,8655,21
Maine,23011,Kennebec County,29016,30.9,28579,30.4,23800,26.2
Maine,23013,Knox County,7288,23.1,7489,23.8,7147,22.5
Maine,23015,Lincoln County,6742,24.6,6571,24,5450,19.9
Maine,23017,Oxford County,14040,31.4,14113,31.7,11460,26.6
Maine,23019,Penobscot County,36031,30.3,36705,31,25630,23.1
Maine,23021,Piscataquis County,4576,33.3,4306,31.4,3335,24.6
Maine,23023,Sagadahoc County,6875,25.1,7046,25.8,6123,22.3
Maine,23025,Somerset County,14043,35,13600,33.9,8901,23
Maine,23027,Waldo County,8551,28.3,8824,29.4,6986,24.1
Maine,23029,Washington County,7215,28.5,7841,30.9,7127,27.8
Maine,23031,York County,42718,27.6,41258,26.9,32840,21.8
Maryland,24001,Allegany County,18721,32.3,15960,27.5,14050,24.7
Maryland,24003,Anne Arundel County,121100,29.1,115590,28.1,84540,22.9
Maryland,24005,Baltimore County,179298,28.8,173598,28.2,128200,22.2
Maryland,24009,Calvert County,19595,29.7,19361,29.8,14640,24
Maryland,24011,Caroline County,8422,35,8181,34.2,6230,27.8
Maryland,24013,Carroll County,34751,27.9,34237,27.7,25740,21.6
Maryland,24015,Cecil County,25371,33.7,23757,31.8,17080,24.8
Maryland,24017,Charles County,39706,36,37821,35,24850,26.2
Maryland,24019,Dorchester County,8943,35.7,8341,33.4,6177,26.4
Maryland,24021,Frederick County,51361,29.1,48658,27.9,35640,23.1
Maryland,24023,Garrett County,7092,30.6,7028,30.7,5824,26.2
Maryland,24025,Harford County,51760,27.9,52042,28.3,39350,23.5
Maryland,24027,Howard County,48161,21.7,48829,22.6,39210,20.8
Maryland,24029,Kent County,4379,28.1,4306,27.3,3457,22.7
Maryland,24031,Montgomery County,152205,20.1,143964,19.4,113600,17
Maryland,24033,Prince George's County,221069,33.4,213617,32.9,165600,28
Maryland,24035,Queen Anne's County,10547,28.9,10035,27.7,7098,21.4
