Movie_name,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,IMAX,Documentary,War,Musical,Film-Noir,Western,(no genres listed)
3-Iron_Bin-jip_2004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Safety_Last!_1923,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bad_Santa_2003,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Apocalypse_Now_1979,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Two_Deaths_1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sophie's_Choice_1982,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon_Women_on_the_Moon_1987,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dying_of_Laughter_Muertos_de_risa_1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sticky_Fingers_of_Time_The_1997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Naked_Prey_The_1966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chant_of_Jimmy_Blacksmith_The_1978,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Book_of_Love_1990,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
House_of_Cards_1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Raw_Deal_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sorority_House_Massacre_II_1990,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jefferson_in_Paris_1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventures_of_Milo_and_Otis_The_Koneko_monogatari_1986,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluke_1995,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Van_Wilder_2:_The_Rise_of_Taj_2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H.O.T.S._1979,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Destry_Rides_Again_1939,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dark_Blue_2003,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Boy_A_2007,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
400_Blows_The_Les_Quatre_cents_coups_1959,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ali:_Fear_Eats_the_Soul_Angst_essen_Seele_auf_1974,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Goonies_The_1985,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Art_of_War_The_2000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Everything_Relative_1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saints_and_Soldiers_2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Seventh_Seal_The_Sjunde_inseglet_Det_1957,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Those_Who_Love_Me_Can_Take_the_Train_Ceux_qui_m'aiment_prendront_le_train_1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
House_of_Yes_The_1997,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wholly_Moses_1980,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nobody_Knows_Dare_mo_shiranai_2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Horror_Express_1972,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Under_Suspicion_2000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Remo_Williams:_The_Adventure_Begins_1985,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Barbary_Coast_1935,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Rookie_The_2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Friends_and_Family_2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana_1998,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Valdez_Is_Coming_1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gods_Must_Be_Crazy_The_1980,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arn:_The_Knight_Templar_Arn_-_Tempelriddaren_2007,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Shaft_2000,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Canadian_Bacon_1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Waking_Life_2001,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Braddock:_Missing_in_Action_III_1988,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
You_Don't_Mess_with_the_Zohan_2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scooby-Doo_2002,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nothing_in_Common_1986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villain_The_1979,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hunk_1987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipstick_1976,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Best_of_Everything_The_1959,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wuthering_Heights_1970,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Boys_of_St._Vincent_The_1992,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Next_Best_Thing_The_2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black_Book_Zwartboek_2006,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
One_Flew_Over_the_Cuckoo's_Nest_1975,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Major_League_II_1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhaji_on_the_Beach_1993,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Children_On_Their_Birthdays_2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Back_to_the_Future_Part_III_1990,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Five_Heartbeats_The_1991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Faces_of_Death_5_1996,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Glass_Menagerie_The_1987,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
More_1998,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Retro_Puppet_Master_1999,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Fierce_Creatures_1997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keep_the_River_on_Your_Right:_A_Modern_Cannibal_Tale_2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jersey_Girl_1992,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
After_the_Sunset_2004,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Shallow_Grave_1994,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
How_to_Eat_Fried_Worms_2006,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kings_of_the_Road_Im_Lauf_der_Zeit_1976,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL_2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantasia_1940,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Myth_of_Fingerprints_The_1997,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pipe_Dream_2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pianist_The_2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Cowboy_Bebop:_The_Movie_Cowboy_Bebop:_Tengoku_no_Tobira_2001,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
Eastern_Promises_2007,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
In_God's_Hands_1998,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Last_Time_I_Committed_Suicide_The_1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Foreign_Student_1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
American_Pimp_1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Man_Called_Horse_A_1970,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Russian_Doll_2000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masculin_Féminin_1966,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Open_Your_Eyes_Abre_los_ojos_1997,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Ganes_2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Shanghai_Surprise_1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
License_to_Drive_1988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain_Mike_Across_America_Slacker_Uprising_2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
